Hotel_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,Jalu,LY,73.89,overcast clouds,29.0331,21.5482,صاحبة الفخامة
1,1,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
2,9,Sao Filipe,CV,79.03,light rain,14.8961,-24.4956,Hotel Xaguate
3,10,Harper,LR,75.88,overcast clouds,4.375,-7.7169,Screensaver
6,26,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,3Ds International Tourist Home
7,27,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
8,31,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Coral Hills
9,38,Calamar,CO,76.19,scattered clouds,10.2511,-74.9146,Hostal Katyalex
10,40,Kawalu,ID,77.05,overcast clouds,-7.3817,108.2082,Kosan ibu oom
11,42,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,Hotel Krystal Beach Acapulco
12,45,Itaituba,BR,72.39,broken clouds,-4.2761,-55.9836,Hotel Campos
13,48,Saint-Philippe,RE,78.12,clear sky,-21.3585,55.7679,Domaine du Vacoa
14,51,Port Elizabeth,ZA,72.1,scattered clouds,-33.918,25.5701,Filzo Lodge B&B
16,59,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
17,64,Faanui,PF,78.62,clear sky,-16.4833,-151.75,Bora Bora Bungalove
18,69,Gemena,CD,73.89,overcast clouds,3.25,19.7667,Hôtel Goshen
19,70,Maracaibo,VE,77.77,overcast clouds,10.6317,-71.6406,Motel Aladdin
20,71,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
21,72,Dabeiba,CO,73.98,overcast clouds,7.0017,-76.2672,Hotel cactus 2
23,77,Atuona,PF,76.93,few clouds,-9.8,-139.0333,Villa Enata
24,78,Jablah,SY,71.89,clear sky,35.3614,35.9256,ملهى ليلي
25,90,Axim,GH,76.6,overcast clouds,4.8699,-2.2405,Frankfaus
26,95,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Bils' Villa
27,99,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta Das Buganvílias
28,102,Luanda,AO,75.2,overcast clouds,-8.8368,13.2343,Hotel Fórum
29,103,Jaru,BR,72.57,overcast clouds,-10.4389,-62.4664,Hotel Paraná
