City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Iqaluit,CA,63.7506,-68.5145,24.53,86,100,5.75,2022-10-12 05:35:54
1,Tasiilaq,GL,65.6145,-37.6368,28.08,94,100,5.64,2022-10-12 05:35:55
2,Talnakh,RU,69.4865,88.3972,34.21,94,94,4.79,2022-10-12 05:35:56
3,Hobart,AU,-42.8794,147.3294,66.22,73,75,19.57,2022-10-12 05:35:18
4,Ushuaia,AR,-54.8,-68.3,35.26,93,100,18.41,2022-10-12 05:31:29
5,Bluff,NZ,-46.6,168.3333,49.19,62,23,6.24,2022-10-12 05:35:57
6,Hermanus,ZA,-34.4187,19.2345,63.81,84,50,5.26,2022-10-12 05:35:58
7,East London,ZA,-33.0153,27.9116,67.14,82,20,3.44,2022-10-12 05:32:09
8,Egvekinot,RU,66.3167,-179.1667,12.49,65,13,7.58,2022-10-12 05:35:59
9,Bredasdorp,ZA,-34.5322,20.0403,63.57,81,68,4.27,2022-10-12 05:34:14
10,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,20,19.57,2022-10-12 05:36:00
11,Barrow,US,71.2906,-156.7887,28.42,93,100,25.32,2022-10-12 05:36:01
12,Srednekolymsk,RU,67.45,153.6833,17.49,76,15,4.32,2022-10-12 05:36:01
13,Kungurtug,RU,50.5994,97.5228,46.6,35,77,1.7,2022-10-12 05:36:02
14,Elko,US,41.0002,-115.5012,52.65,32,1,4.0,2022-10-12 05:36:03
15,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,24.16,2022-10-12 05:32:12
16,Rikitea,PF,-23.1203,-134.9692,69.73,80,59,21.36,2022-10-12 05:36:04
17,Port Alfred,ZA,-33.5906,26.891,67.17,88,99,1.01,2022-10-12 05:36:05
18,Nikolskoye,RU,59.7035,30.7861,45.79,88,67,6.96,2022-10-12 05:36:05
19,Destin,US,30.3935,-86.4958,75.96,86,20,3.44,2022-10-12 05:32:01
20,Lompoc,US,34.6391,-120.4579,62.78,95,100,3.44,2022-10-12 05:36:06
21,Cabo San Lucas,MX,22.8909,-109.9124,82.51,77,38,8.37,2022-10-12 05:33:08
22,Bang Saphan,TH,11.2126,99.5117,84.79,65,68,6.15,2022-10-12 05:36:07
23,Bachaquero,VE,9.9694,-71.1494,79.9,84,76,8.72,2022-10-12 05:36:08
24,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,86,4.0,2022-10-12 05:36:09
25,Georgetown,MY,5.4112,100.3354,86.9,73,20,3.44,2022-10-12 05:35:39
26,Vaini,TO,-21.2,-175.2,77.16,88,20,9.22,2022-10-12 05:36:10
27,Yar-Sale,RU,66.8333,70.8333,39.09,73,91,8.99,2022-10-12 05:36:11
28,Albany,US,42.6001,-73.9662,52.54,89,0,2.75,2022-10-12 05:36:11
29,Baghdad,IQ,33.3406,44.4009,73.31,35,0,4.61,2022-10-12 05:36:12
30,Plettenberg Bay,ZA,-34.0527,23.3716,65.12,82,99,2.93,2022-10-12 05:36:13
31,Cape Town,ZA,-33.9258,18.4232,62.91,88,75,9.22,2022-10-12 05:31:27
32,Geraldton,AU,-28.7667,114.6,70.21,30,1,17.27,2022-10-12 05:36:14
33,Russell,US,32.3502,-85.1999,70.83,100,0,0.0,2022-10-12 05:36:15
34,Dois Corregos,BR,-22.3661,-48.3803,68.7,60,88,2.8,2022-10-12 05:33:47
35,Upernavik,GL,72.7868,-56.1549,17.62,74,96,4.41,2022-10-12 05:36:16
36,Aklavik,CA,68.2191,-135.0107,22.73,84,49,2.71,2022-10-12 05:36:16
37,Cooma,AU,-36.2333,149.1333,59.47,67,100,11.5,2022-10-12 05:36:17
38,Thompson,CA,55.7435,-97.8558,37.56,93,100,10.36,2022-10-12 05:36:18
39,Norman Wells,CA,65.282,-126.8329,24.84,93,75,4.61,2022-10-12 05:36:19
40,Moron,AR,-34.6534,-58.6198,55.98,78,0,6.08,2022-10-12 05:36:19
41,Jamestown,US,42.097,-79.2353,56.79,69,0,5.75,2022-10-12 05:36:20
42,Kamaishi,JP,39.2667,141.8833,63.64,58,93,3.24,2022-10-12 05:32:12
43,Belaya Gora,RU,68.5333,146.4167,20.86,55,9,5.19,2022-10-12 05:36:21
44,Klaksvik,FO,62.2266,-6.589,49.12,85,100,17.74,2022-10-12 05:36:21
45,East Wenatchee Bench,US,47.4257,-120.2812,62.31,55,0,5.75,2022-10-12 05:36:22
46,Cockburn Town,TC,21.4612,-71.1419,82.45,77,70,17.56,2022-10-12 05:37:23
47,Mahebourg,MU,-20.4081,57.7,76.24,60,40,11.5,2022-10-12 05:37:23
48,Cherskiy,RU,68.75,161.3,10.49,91,28,8.16,2022-10-12 05:37:24
49,Bowen,AU,-20.0167,148.2333,76.93,64,80,21.09,2022-10-12 05:37:25
50,Sassandra,CI,4.95,-6.0833,74.57,92,92,2.44,2022-10-12 05:37:25
51,Quelimane,MZ,-17.8786,36.8883,73.35,94,20,0.0,2022-10-12 05:37:26
52,Richards Bay,ZA,-28.783,32.0377,75.13,69,98,12.12,2022-10-12 05:37:26
53,Kaseda,JP,31.4167,130.3167,72.81,53,86,8.21,2022-10-12 05:37:27
54,Paita,PE,-5.0892,-81.1144,61.61,87,13,10.36,2022-10-12 05:37:28
55,Lima,PE,-12.0432,-77.0282,58.89,86,75,12.66,2022-10-12 05:37:26
56,Busselton,AU,-33.65,115.3333,62.2,43,29,13.78,2022-10-12 05:37:29
57,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,12.66,2022-10-12 05:37:29
58,Castro,BR,-24.7911,-50.0119,60.4,96,100,2.75,2022-10-12 05:37:30
59,Port Lincoln,AU,-34.7333,135.8667,59.32,58,95,14.18,2022-10-12 05:37:30
60,Qaanaaq,GL,77.484,-69.3632,6.17,63,12,7.99,2022-10-12 05:37:31
61,Leningradskiy,RU,69.3833,178.4167,24.1,73,100,17.96,2022-10-12 05:37:32
62,Kemin,KG,42.7846,75.6892,70.23,9,0,4.45,2022-10-12 05:37:32
63,Dunedin,NZ,-45.8742,170.5036,48.79,84,77,5.73,2022-10-12 05:32:36
64,Katsuura,JP,35.1333,140.3,70.81,73,100,21.77,2022-10-12 05:37:33
65,Carmelo,UY,-33.9892,-58.2856,46.8,55,0,8.72,2022-10-12 05:37:34
66,San-Pedro,CI,4.7485,-6.6363,74.79,91,81,1.57,2022-10-12 05:37:35
67,Pingshan,CN,22.9938,114.7131,84.54,23,1,6.71,2022-10-12 05:37:35
68,Raudeberg,NO,61.9875,5.1352,48.96,34,98,20.8,2022-10-12 05:37:36
69,Noumea,NC,-22.2763,166.4572,79.0,99,100,10.25,2022-10-12 05:37:36
70,Pevek,RU,69.7008,170.3133,25.77,76,100,19.46,2022-10-12 05:37:37
71,Padang,ID,-0.9492,100.3543,86.05,73,100,3.91,2022-10-12 05:37:38
72,Esperance,AU,-33.8667,121.9,58.42,55,63,21.21,2022-10-12 05:37:39
73,Nanortalik,GL,60.1432,-45.2371,30.79,72,66,6.44,2022-10-12 05:37:40
74,Chingirlau,KZ,51.095,54.0814,54.1,63,94,5.35,2022-10-12 05:37:40
75,Avarua,CK,-21.2078,-159.775,73.45,94,100,19.57,2022-10-12 05:37:41
76,Sanchor,IN,24.7553,71.7722,93.7,24,0,2.53,2022-10-12 05:37:41
77,Port Hardy,CA,50.6996,-127.4199,46.58,87,0,3.44,2022-10-12 05:37:42
78,Vilhena,BR,-12.7406,-60.1458,67.8,84,98,2.71,2022-10-12 05:36:01
79,Butaritari,KI,3.0707,172.7902,82.24,76,79,20.89,2022-10-12 05:37:43
80,Qarqin,AF,37.4185,66.0436,76.28,13,0,2.39,2022-10-12 05:37:44
81,Khandyga,RU,62.6667,135.6,29.39,86,100,3.87,2022-10-12 05:37:44
82,Khatanga,RU,71.9667,102.5,31.62,98,100,3.91,2022-10-12 05:37:45
83,Broome,US,42.2506,-75.833,52.68,75,25,4.05,2022-10-12 05:37:45
84,Hilo,US,19.7297,-155.09,80.28,90,0,1.01,2022-10-12 05:37:46
85,Gulabpura,IN,25.9,74.6667,85.96,36,0,4.32,2022-10-12 05:37:47
86,Kirakira,SB,-10.4544,161.9205,82.69,73,30,4.88,2022-10-12 05:37:47
87,Kapaa,US,22.0752,-159.319,75.52,90,20,3.44,2022-10-12 05:37:48
88,Saskylakh,RU,71.9167,114.0833,26.98,95,95,3.42,2022-10-12 05:37:48
89,Kiunga,PG,-6.1219,141.2906,84.16,87,80,1.86,2022-10-12 05:37:49
90,Manaus,BR,-3.1019,-60.025,79.29,89,40,2.3,2022-10-12 05:37:50
91,Saint-Philippe,RE,-21.3585,55.7679,76.59,61,33,11.95,2022-10-12 05:37:50
92,Shatsk,RU,54.0258,41.7119,45.41,91,100,10.78,2022-10-12 05:38:51
93,Alyangula,AU,-13.8483,136.4192,85.87,66,95,9.93,2022-10-12 05:38:51
94,Paracuru,BR,-3.41,-39.0306,79.11,75,87,15.84,2022-10-12 05:38:52
95,Oktyabrskoye,RU,43.0645,44.7417,49.35,87,75,0.0,2022-10-12 05:38:53
96,Springbok,ZA,-29.6643,17.8865,74.08,26,69,2.08,2022-10-12 05:38:53
97,Mount Gambier,AU,-37.8333,140.7667,55.44,97,100,6.96,2022-10-12 05:38:54
98,Poum,NC,-20.2333,164.0167,76.84,76,87,9.1,2022-10-12 05:38:55
